,date,cash,position,portfolio_value,close,volatility,ATR,rsi,signal
129,2010-11-01,101858.50256000004,1,101859.18256000003,0.68,0.02031178776707773,0.02357142857142857,83.33333333333333,buy
130,2010-11-02,101858.50256000004,1,101859.20256000003,0.7,0.01947257034416052,0.02357142857142856,83.33333333333331,buy
131,2010-11-03,101858.50256000004,1,101859.21256000004,0.71,0.019362563519095984,0.024285714285714275,84.6153846153846,buy
132,2010-11-04,101858.50256000004,1,101859.24256000004,0.74,0.020449521965335418,0.02499999999999999,84.6153846153846,buy
133,2010-11-05,101858.50256000004,1,101859.24256000004,0.74,0.02059992788495455,0.02499999999999999,84.6153846153846,buy
134,2010-11-08,101858.50256000004,1,101859.24256000004,0.74,0.02059992788495455,0.022857142857142847,99.99999872727274,buy
135,2010-11-09,101858.50256000004,1,101859.23256000003,0.73,0.02059992788495455,0.022857142857142847,90.9090909090909,buy
136,2010-11-10,101858.50256000004,1,101859.24256000004,0.74,0.01911861556273121,0.02214285714285713,90.9090909090909,buy
137,2010-11-11,101858.50256000004,1,101859.23256000003,0.73,0.01967176609316045,0.02357142857142856,81.8181818181818,hold
138,2010-11-12,101858.50256000004,1,101859.19256000004,0.69,0.020295940338565337,0.026428571428571412,57.1428571428571,buy
139,2010-11-15,101858.50256000004,1,101859.18256000003,0.68,0.01970473686196056,0.026428571428571405,53.33333333333334,buy
140,2010-11-17,101859.15223500003,0,101859.15223500003,0.66,0.019203719476100372,0.02785714285714284,44.444444444444436,hold
141,2010-11-18,101859.15223500003,0,101859.15223500003,0.69,0.02137636787246765,0.02999999999999999,52.380952380952365,hold
142,2010-11-19,67619.42092500004,49598,101842.04092500004,0.69,0.02137636787246765,0.028571428571428557,52.380952380952365,buy
143,2010-11-22,67619.42092500004,49598,102834.00092500004,0.71,0.020566282137178902,0.028571428571428557,52.38095238095238,buy
144,2010-11-23,67619.42092500004,49598,100850.08092500005,0.67,0.02170218366316868,0.030714285714285694,41.66666666666667,hold
145,2010-11-24,67619.42092500004,49598,102834.00092500004,0.71,0.022610883285994084,0.0314285714285714,43.99999999999999,hold
146,2010-11-26,67619.42092500004,49598,102834.00092500004,0.71,0.02259273075149738,0.0314285714285714,43.99999999999999,hold
147,2010-11-29,67619.42092500004,49598,102338.02092500005,0.7,0.023605741501266063,0.03357142857142854,42.30769230769229,hold
148,2010-11-30,67619.42092500004,49598,100850.08092500005,0.67,0.024282042502731967,0.034285714285714246,39.285714285714285,hold
149,2010-12-01,67619.42092500004,49598,102834.00092500004,0.71,0.027684673409462634,0.03642857142857138,45.16129032258063,buy
150,2010-12-02,83355.78880500005,28322,104314.06880500005,0.74,0.028202685572280426,0.035714285714285664,51.515151515151516,buy
151,2010-12-03,92341.55367500005,16173,104309.57367500005,0.74,0.026729373321482806,0.0321428571428571,58.620689655172434,buy
152,2010-12-06,97472.36698500004,9236,104307.00698500004,0.74,0.026729373321482806,0.030714285714285677,60.714285714285715,buy
153,2010-12-07,100402.78104500004,5274,104305.54104500003,0.74,0.027386575236725375,0.029999999999999964,68.00000000000001,buy
